satsing,noun
roman,noun
hit,adverb
tørre,verb
egg,noun
ro,noun
generasjon,noun
fjerde,adjective
sannsynlig,adjective
klassisk,adjective
jøde,noun
innflytter,noun
medisinsk,adjective
demokrati,noun
helle,verb
gjeng,noun
regi,noun
fet,adjective
profesjonell,adjective
foredrag,noun
motstand,noun
forbedre,verb
seksuell,adjective
utvide,verb
derifra,adverb
ifra,preposition/adverb
frykt,noun
bonde,noun
ring,noun
sur,adjective
